,,crime_crime_Aggravated Assault Firearm,crime_crime_Aggravated Assault No Firearm,crime_crime_All Other Offenses,crime_crime_Arson,crime_crime_Burglary Non-Residential,crime_crime_Burglary Residential,crime_crime_DRIVING UNDER THE INFLUENCE,crime_crime_Disorderly Conduct,crime_crime_Embezzlement,crime_crime_Forgery and Counterfeiting,crime_crime_Fraud,crime_crime_Gambling Violations,crime_crime_Homicide - Criminal,crime_crime_Homicide - Criminal ,crime_crime_Homicide - Gross Negligence,crime_crime_Homicide - Justifiable ,crime_crime_Liquor Law Violations,crime_crime_Motor Vehicle Theft,crime_crime_Narcotic / Drug Law Violations,crime_crime_Offenses Against Family and Children,crime_crime_Other Assaults,crime_crime_Other Sex Offenses (Not Commercialized),crime_crime_Prostitution and Commercialized Vice,crime_crime_Public Drunkenness,crime_crime_Rape,crime_crime_Receiving Stolen Property,crime_crime_Robbery Firearm,crime_crime_Robbery No Firearm,crime_crime_Theft from Vehicle,crime_crime_Thefts,crime_crime_Vagrancy/Loitering,crime_crime_Vandalism/Criminal Mischief,crime_crime_Weapon Violations,crime_total,crash_crash_AUTOMOBILE_COUNT,crash_crash_BELTED_DEATH_COUNT,crash_crash_BELTED_SUSP_SERIOUS_INJ_COUNT,crash_crash_BICYCLE_COUNT,crash_crash_BICYCLE_DEATH_COUNT,crash_crash_BICYCLE_SUSP_SERIOUS_INJ_COUNT,crash_crash_BUS_COUNT,crash_crash_CHLDPAS_DEATH_COUNT,crash_crash_CHLDPAS_SUSP_SERIOUS_INJ_COUNT,crash_crash_COMM_VEH_COUNT,crash_crash_DRIVER_COUNT_16YR,crash_crash_DRIVER_COUNT_17YR,crash_crash_DRIVER_COUNT_18YR,crash_crash_DRIVER_COUNT_19YR,crash_crash_DRIVER_COUNT_20YR,crash_crash_DRIVER_COUNT_50_64YR,crash_crash_DRIVER_COUNT_65_74YR,crash_crash_DRIVER_COUNT_75PLUS,crash_crash_FATAL_COUNT,crash_crash_HEAVY_TRUCK_COUNT,crash_crash_HORSE_BUGGY_COUNT,crash_crash_INJURY_COUNT,crash_crash_MCYCLE_DEATH_COUNT,crash_crash_MCYCLE_SUSP_SERIOUS_INJ_COUNT,crash_crash_MOTORCYCLE_COUNT,crash_crash_NONMOTR_COUNT,crash_crash_NONMOTR_DEATH_COUNT,crash_crash_NONMOTR_SUSP_SERIOUS_INJ_COUNT,crash_crash_PED_COUNT,crash_crash_PED_DEATH_COUNT,crash_crash_PED_SUSP_SERIOUS_INJ_COUNT,crash_crash_PERSON_COUNT,crash_crash_POSSIBLE_INJ_COUNT,crash_crash_SMALL_TRUCK_COUNT,crash_crash_SUSP_MINOR_INJ_COUNT,crash_crash_SUSP_SERIOUS_INJ_COUNT,crash_crash_SUV_COUNT,crash_crash_TOT_INJ_COUNT,crash_crash_UNB_DEATH_COUNT,crash_crash_UNB_SUSP_SERIOUS_INJ_COUNT,crash_crash_UNBELTED_OCC_COUNT,crash_crash_UNK_INJ_DEG_COUNT,crash_crash_UNK_INJ_PER_COUNT,crash_crash_VAN_COUNT,crash_crash_VEHICLE_COUNT,crash_crash_COLLISION_TYPE_0,crash_crash_COLLISION_TYPE_1,crash_crash_COLLISION_TYPE_2,crash_crash_COLLISION_TYPE_3,crash_crash_COLLISION_TYPE_4,crash_crash_COLLISION_TYPE_5,crash_crash_COLLISION_TYPE_6,crash_crash_COLLISION_TYPE_7,crash_crash_COLLISION_TYPE_8,crash_crash_COLLISION_TYPE_9,crash_crash_COLLISION_TYPE_98,crash_crash_COLLISION_TYPE_99,crash_crash_ILLUMINATION_1.0,crash_crash_ILLUMINATION_2.0,crash_crash_ILLUMINATION_3.0,crash_crash_ILLUMINATION_4.0,crash_crash_ILLUMINATION_5.0,crash_crash_ILLUMINATION_6.0,crash_crash_ILLUMINATION_8.0,crash_crash_ILLUMINATION_9.0,crash_crash_ILLUMINATION_nan,crash_crash_INTERSECT_TYPE_0,crash_crash_INTERSECT_TYPE_1,crash_crash_INTERSECT_TYPE_10,crash_crash_INTERSECT_TYPE_11,crash_crash_INTERSECT_TYPE_12,crash_crash_INTERSECT_TYPE_2,crash_crash_INTERSECT_TYPE_3,crash_crash_INTERSECT_TYPE_5,crash_crash_INTERSECT_TYPE_6,crash_crash_INTERSECT_TYPE_7,crash_crash_INTERSECT_TYPE_9,crash_crash_LOCATION_TYPE_0,crash_crash_LOCATION_TYPE_1,crash_crash_LOCATION_TYPE_2,crash_crash_LOCATION_TYPE_3,crash_crash_LOCATION_TYPE_4,crash_crash_LOCATION_TYPE_5,crash_crash_LOCATION_TYPE_6,crash_crash_LOCATION_TYPE_7,crash_crash_LOCATION_TYPE_8,crash_crash_LOCATION_TYPE_99,crash_crash_MAX_SEVERITY_LEVEL_0,crash_crash_MAX_SEVERITY_LEVEL_1,crash_crash_MAX_SEVERITY_LEVEL_2,crash_crash_MAX_SEVERITY_LEVEL_3,crash_crash_MAX_SEVERITY_LEVEL_4,crash_crash_MAX_SEVERITY_LEVEL_8,crash_crash_MAX_SEVERITY_LEVEL_9,crash_crash_RELATION_TO_ROAD_1,crash_crash_RELATION_TO_ROAD_2,crash_crash_RELATION_TO_ROAD_3,crash_crash_RELATION_TO_ROAD_4,crash_crash_RELATION_TO_ROAD_5,crash_crash_RELATION_TO_ROAD_6,crash_crash_RELATION_TO_ROAD_7,crash_crash_RELATION_TO_ROAD_9,crash_crash_ROAD_CONDITION_0,crash_crash_ROAD_CONDITION_1,crash_crash_ROAD_CONDITION_2,crash_crash_ROAD_CONDITION_3,crash_crash_ROAD_CONDITION_4,crash_crash_ROAD_CONDITION_5,crash_crash_ROAD_CONDITION_6,crash_crash_ROAD_CONDITION_7,crash_crash_ROAD_CONDITION_8,crash_crash_ROAD_CONDITION_9,crash_crash_ROAD_CONDITION_98,crash_crash_ROAD_CONDITION_99,crash_crash_TCD_TYPE_0,crash_crash_TCD_TYPE_1,crash_crash_TCD_TYPE_2,crash_crash_TCD_TYPE_3,crash_crash_TCD_TYPE_4,crash_crash_TCD_TYPE_5,crash_crash_TCD_TYPE_6,crash_crash_TCD_TYPE_7,crash_crash_TCD_TYPE_8,crash_crash_TCD_TYPE_9,crash_crash_URBAN_RURAL_3,crash_crash_WEATHER1_10,crash_crash_WEATHER1_2,crash_crash_WEATHER1_3,crash_crash_WEATHER1_4,crash_crash_WEATHER1_5,crash_crash_WEATHER1_6,crash_crash_WEATHER1_7,crash_crash_WEATHER1_8,crash_crash_WEATHER1_9,crash_crash_WEATHER1_98,crash_crash_WEATHER1_99,crash_total,traffic_stop_subject_race_asian/pacific islander,traffic_stop_subject_race_black,traffic_stop_subject_race_hispanic,traffic_stop_subject_race_other,traffic_stop_subject_race_unknown,traffic_stop_subject_race_white,traffic_stop_subject_sex_female,traffic_stop_subject_sex_male,traffic_stop_type_pedestrian,traffic_stop_type_vehicular,traffic_stop_outcome_arrest,traffic_stop_outcome_none,traffic_stop_contraband_found,traffic_stop_frisk_performed,traffic_stop_search_conducted,traffic_stop_arrest_made,traffic_stop_total
1.0,2014-01-31,1.0,9.0,26.0,0.0,1.0,10.0,7.0,3.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,40.0,2.0,0.0,0.0,3.0,0.0,2.0,6.0,16.0,24.0,0.0,34.0,4.0,224.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,6.0,0.0,0.0,5.0,0.0,0.0,75.0,9.0,7.0,1.0,0.0,8.0,18.0,0.0,0.0,2.0,8.0,7.0,2.0,55.0,1.0,8.0,0.0,1.0,6.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,14.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,23.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,7.0,5.0,23.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,0.0,0.0,12.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,17.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,564.0,28.0,185.0,6.0,2.0,4.0,157.0,96.0,286.0,146.0,236.0,12.0,370.0,2.0,23.0,14.0,12.0,1579.0
1.0,2014-02-28,2.0,8.0,46.0,0.0,1.0,7.0,8.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,0.0,37.0,3.0,0.0,3.0,2.0,0.0,1.0,4.0,12.0,24.0,0.0,24.0,0.0,213.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,39.0,13.0,5.0,1.0,0.0,0.0,18.0,0.0,0.0,4.0,4.0,4.0,0.0,21.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,2.0,1.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,284.0,73.0,570.0,34.0,8.0,5.0,442.0,275.0,857.0,519.0,613.0,39.0,1093.0,12.0,65.0,40.0,39.0,4684.0
1.0,2014-03-31,3.0,10.0,83.0,1.0,1.0,6.0,6.0,5.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,40.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,15.0,20.0,1.0,20.0,2.0,251.0,30.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,3.0,1.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,78.0,14.0,8.0,6.0,0.0,14.0,24.0,0.0,0.0,4.0,4.0,0.0,4.0,62.0,0.0,5.0,0.0,0.0,7.0,8.0,1.0,7.0,2.0,0.0,0.0,0.0,20.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,6.0,11.0,4.0,0.0,20.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,1.0,0.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,601.0,71.0,548.0,24.0,7.0,4.0,339.0,233.0,760.0,481.0,512.0,28.0,965.0,10.0,63.0,29.0,28.0,4102.0
1.0,2014-04-30,5.0,8.0,78.0,1.0,3.0,10.0,7.0,3.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,13.0,1.0,37.0,1.0,0.0,1.0,2.0,0.0,1.0,5.0,11.0,46.0,0.0,26.0,1.0,287.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,46.0,15.0,2.0,1.0,0.0,7.0,20.0,0.0,0.0,1.0,4.0,3.0,3.0,33.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,8.0,3.0,2.0,12.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,372.0,83.0,774.0,34.0,8.0,12.0,574.0,377.0,1108.0,730.0,755.0,52.0,1433.0,14.0,101.0,49.0,52.0,6156.0
1.0,2014-05-31,1.0,12.0,55.0,0.0,1.0,11.0,4.0,6.0,2.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,0.0,37.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,18.0,52.0,0.0,40.0,3.0,283.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,27.0,5.0,2.0,3.0,0.0,2.0,9.0,0.0,0.0,6.0,1.0,2.0,2.0,18.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,1.0,1.0,8.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,229.0,97.0,748.0,16.0,10.0,11.0,537.0,365.0,1054.0,690.0,729.0,45.0,1374.0,14.0,102.0,50.0,45.0,5887.0
1.0,2014-06-30,1.0,9.0,59.0,1.0,1.0,11.0,6.0,4.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,22.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,15.0,64.0,0.0,37.0,2.0,303.0,20.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,44.0,10.0,1.0,1.0,0.0,11.0,14.0,0.0,0.0,4.0,3.0,3.0,3.0,37.0,0.0,5.0,0.0,0.0,7.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,13.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,17.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,9.0,3.0,1.0,13.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,393.0,72.0,674.0,22.0,7.0,3.0,403.0,274.0,907.0,679.0,502.0,51.0,1130.0,22.0,89.0,53.0,51.0,4939.0
1.0,2014-07-31,2.0,5.0,108.0,1.0,2.0,11.0,3.0,4.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,27.0,3.0,0.0,3.0,2.0,0.0,6.0,7.0,19.0,73.0,0.0,35.0,2.0,350.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,0.0,2.0,0.0,17.0,0.0,0.0,1.0,7.0,0.0,0.0,3.0,0.0,0.0,51.0,9.0,1.0,3.0,0.0,5.0,17.0,0.0,0.0,6.0,5.0,3.0,2.0,33.0,1.0,3.0,0.0,1.0,8.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,7.0,3.0,2.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,390.0,72.0,787.0,37.0,4.0,7.0,388.0,308.0,987.0,698.0,597.0,55.0,1240.0,11.0,72.0,46.0,55.0,5364.0
1.0,2014-08-31,2.0,15.0,60.0,2.0,1.0,17.0,1.0,9.0,2.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,33.0,6.0,0.0,0.0,1.0,0.0,5.0,6.0,25.0,65.0,0.0,37.0,0.0,333.0,24.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,6.0,0.0,0.0,4.0,0.0,0.0,57.0,10.0,2.0,0.0,1.0,9.0,18.0,0.0,0.0,1.0,7.0,1.0,1.0,38.0,1.0,4.0,0.0,0.0,6.0,2.0,1.0,5.0,4.0,0.0,0.0,0.0,14.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,8.0,7.0,0.0,17.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,444.0,81.0,821.0,34.0,5.0,6.0,472.0,374.0,1045.0,717.0,702.0,56.0,1363.0,10.0,105.0,54.0,56.0,5901.0
1.0,2014-09-30,1.0,14.0,55.0,3.0,1.0,5.0,7.0,7.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,18.0,58.0,0.0,24.0,1.0,282.0,28.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,86.0,19.0,2.0,3.0,0.0,11.0,28.0,0.0,0.0,3.0,6.0,4.0,4.0,47.0,0.0,9.0,1.0,0.0,8.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,9.0,5.0,1.0,21.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,521.0,91.0,717.0,22.0,6.0,5.0,509.0,353.0,996.0,700.0,650.0,50.0,1300.0,16.0,69.0,55.0,50.0,5589.0
1.0,2014-10-31,3.0,5.0,78.0,0.0,4.0,14.0,9.0,8.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,42.0,2.0,0.0,0.0,2.0,0.0,3.0,9.0,8.0,60.0,0.0,36.0,2.0,323.0,23.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,49.0,8.0,5.0,3.0,1.0,12.0,18.0,0.0,0.0,13.0,6.0,1.0,2.0,44.0,1.0,2.0,0.0,0.0,5.0,5.0,1.0,3.0,4.0,0.0,0.0,0.0,12.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,16.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,6.0,5.0,0.0,13.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,12.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,439.0,116.0,796.0,32.0,7.0,8.0,564.0,437.0,1086.0,753.0,770.0,55.0,1468.0,17.0,77.0,63.0,55.0,6304.0
