,spearman_corr,p_value
CALL_TM_min,1.0,0.0
UNK_INJ_PER_COUNT,0.04409606946382261,1.6318928050884503e-50
SUSP_SERIOUS_INJ_COUNT,-0.02960373402433285,1.1041800877904472e-23
FATAL_COUNT,-0.026817329935274793,1.0155810528710988e-19
VEHICLE_COUNT,0.023223143265891123,3.574997957246735e-15
UNBELTED_OCC_COUNT,-0.021211929928395167,6.606105120666915e-13
MOTORCYCLE_COUNT,-0.021173821220738433,7.260680950597478e-13
BELTED_SUSP_SERIOUS_INJ_COUNT,-0.02064665600837911,2.637992652496648e-12
NONMOTR_COUNT,0.02062507381328832,2.7792134828197885e-12
NONMOTR_DEATH_COUNT,-0.020591451342985814,3.014114928454444e-12
PED_DEATH_COUNT,-0.020555518434373567,3.2866837944789713e-12
UNB_SUSP_SERIOUS_INJ_COUNT,-0.02008637419874372,1.0042459050166982e-11
UNK_INJ_DEG_COUNT,-0.020035921174329552,1.1307465701098659e-11
POSSIBLE_INJ_COUNT,0.01550728397765491,1.487182855712607e-07
PED_COUNT,0.013990091150346601,2.136815431876444e-06
BICYCLE_COUNT,0.012251506357510343,3.311255207427667e-05
VAN_COUNT,0.011996520935631467,4.8128690022629195e-05
NONMOTR_SUSP_SERIOUS_INJ_COUNT,-0.01195876885314309,5.083781168127521e-05
PED_SUSP_SERIOUS_INJ_COUNT,-0.010541122702687982,0.00035507621632700244
UNB_DEATH_COUNT,-0.009995582022979236,0.0007077501418684806
SUV_COUNT,0.009865432164293557,0.0008303887310935337
MCYCLE_SUSP_SERIOUS_INJ_COUNT,-0.008627064070825585,0.0034681126847384888
MCYCLE_DEATH_COUNT,-0.008545665791852244,0.003787963689365085
DRIVER_COUNT_16YR,-0.008423132327680048,0.004320192981497667
