CRN,CALL_TM_min
2010001139,5.0
2010004457,2.0
2010005005,8.0
2010005037,0.0
2010005373,2.0
2010005374,35.0
2010005375,9.0
2010005376,6.0
2010005378,1.0
2010005379,11.0
2010005380,3.0
2010005381,6.0
2010005383,5.0
2010005384,3.0
2010005385,5.0
2010005774,0.0
2010005818,2.0
2010006021,4.0
2010006022,2.0
2010006023,6.0
2010006030,4.0
2010006619,3.0
2010006723,1.0
2010006724,2.0
2010006725,4.0
2010007054,3.0
2010007056,2.0
2010007057,2.0
2010007663,3.0
2010007806,1.0
2010007807,1.0
2010007809,5.0
2010008003,2.0
2010008004,5.0
2010008133,1.0
2010008136,4.0
2010008138,2.0
2010008139,3.0
2010008140,0.0
2010008289,1.0
2010008988,2.0
2010008990,5.0
2010008991,5.0
2010008992,3.0
2010008993,2.0
2010008994,5.0
2010008995,5.0
2010008996,5.0
2010009760,3.0
2010009766,1.0
2010009767,3.0
2010009895,0.0
2010010015,3.0
2010010017,7.0
2010010018,2.0
2010010020,6.0
2010010198,0.0
2010010260,2.0
2010010262,0.0
2010010268,0.0
2010010428,8.0
2010010429,2.0
2010010430,7.0
2010010431,4.0
2010010432,3.0
2010010433,4.0
2010010434,0.0
2010010435,6.0
2010010436,10.0
2010011148,2.0
2010011506,0.0
2010011519,1.0
2010011522,7.0
2010011524,0.0
2010011525,7.0
2010011526,1.0
2010011527,2.0
2010011528,3.0
2010011529,30.0
2010011542,11.0
2010011543,30.0
2010011545,21.0
2010011552,66.0
2010011553,0.0
2010011554,1.0
2010011555,10.0
2010011557,5.0
2010011562,17.0
2010011563,0.0
2010011565,2.0
2010011566,2.0
2010011567,3.0
2010011570,1.0
2010011571,3.0
2010011572,3.0
2010011574,10.0
2010011575,4.0
2010011576,1.0
2010011579,3.0
2010011580,0.0
2010011581,5.0
2010011582,2.0
2010011584,12.0
2010011585,0.0
2010011601,0.0
2010011609,5.0
2010011610,9.0
2010011611,8.0
2010011612,2.0
2010011613,2.0
2010011615,0.0
2010011617,5.0
2010011618,0.0
2010011620,4.0
2010011621,0.0
2010011624,0.0
2010011626,1.0
2010011628,11.0
2010011629,0.0
2010011630,20.0
2010011631,7.0
2010011632,75.0
2010011634,10.0
2010011635,0.0
2010011639,22.0
2010011640,0.0
2010011641,10.0
2010011642,1.0
2010011643,23.0
2010011644,0.0
2010011798,3.0
2010011800,6.0
2010011803,3.0
2010011804,5.0
2010011805,3.0
2010011806,3.0
2010011807,2.0
2010012020,10.0
2010012021,4.0
2010012022,1.0
2010012024,4.0
2010012252,5.0
2010012268,0.0
2010012361,14.0
2010012366,0.0
2010012380,4.0
2010012384,2.0
2010012385,0.0
2010012387,6.0
2010012390,4.0
2010012391,3.0
2010012394,5.0
2010012396,0.0
2010012397,8.0
2010012398,8.0
2010012400,52.0
2010012401,0.0
2010012403,21.0
2010012404,6.0
2010012406,1.0
2010012663,2.0
2010012847,2.0
2010012848,3.0
2010012850,7.0
2010012862,7.0
2010013031,3.0
2010013032,1.0
2010013433,3.0
2010013435,1.0
2010013436,1.0
2010013696,0.0
2010014137,4.0
2010014138,6.0
2010014140,1.0
2010014142,6.0
2010014313,4.0
2010014314,2.0
2010014319,3.0
2010014320,3.0
2010014321,5.0
2010014322,3.0
2010014323,7.0
2010014324,9.0
2010014325,2.0
2010014326,1.0
2010014990,0.0
2010015112,4.0
2010015317,0.0
2010015323,0.0
2010015555,1.0
2010015556,1.0
2010015557,0.0
2010015560,2.0
2010015561,9.0
2010015562,9.0
2010015563,9.0
2010015564,2.0
2010015565,4.0
2010015566,4.0
2010015568,5.0
2010015569,9.0
2010015570,3.0
2010015571,10.0
2010015572,4.0
2010015649,0.0
2010015755,0.0
2010015770,0.0
2010015859,3.0
2010015860,1.0
2010015861,2.0
2010015916,2.0
2010015924,0.0
2010016172,6.0
2010016175,10.0
2010016179,4.0
2010016469,0.0
2010016782,4.0
2010016783,2.0
2010016784,5.0
2010016785,9.0
2010016787,4.0
2010016788,2.0
2010016790,10.0
2010016792,6.0
2010016794,3.0
2010016795,5.0
2010016797,8.0
2010016798,4.0
2010016802,10.0
2010016804,3.0
2010016805,2.0
2010016904,0.0
2010016905,16.0
2010016906,6.0
2010016907,13.0
2010016909,5.0
2010016911,3.0
2010016924,3.0
2010016926,49.0
2010016927,0.0
2010016929,3.0
2010016930,0.0
2010016931,3.0
2010016932,1.0
2010016933,0.0
2010016934,2.0
2010016935,9.0
2010016936,8.0
2010016938,20.0
2010016940,0.0
2010016941,0.0
2010016942,26.0
2010016944,25.0
2010016945,10.0
2010016948,6.0
2010016949,3.0
2010017003,5.0
2010017017,4.0
2010017018,5.0
2010017019,6.0
2010017038,0.0
2010017040,15.0
2010017041,7.0
2010017042,0.0
2010017043,17.0
2010017044,0.0
2010017045,11.0
2010017046,8.0
2010017047,1.0
2010017048,0.0
2010017050,0.0
2010017051,0.0
2010017052,7.0
2010017070,1.0
2010017073,0.0
2010017076,5.0
2010017077,0.0
2010017078,8.0
2010017079,2.0
2010017080,1.0
2010017082,6.0
2010017084,20.0
2010017085,2.0
2010017086,3.0
2010017087,15.0
2010017088,0.0
2010017108,4.0
2010017109,0.0
2010017110,1.0
2010017111,2.0
2010017113,0.0
2010017114,2.0
2010017115,15.0
2010017117,5.0
2010017118,7.0
2010017119,2.0
2010017120,5.0
2010017121,1.0
2010017122,0.0
2010017123,0.0
2010017124,1.0
2010017127,3.0
2010017128,2.0
2010017129,0.0
2010017130,2.0
2010017133,0.0
2010017135,0.0
2010017136,2.0
2010017137,1.0
2010017138,4.0
2010017139,7.0
2010017140,15.0
2010017141,2.0
2010017142,0.0
2010017153,8.0
2010017154,26.0
2010017155,3.0
2010017157,0.0
2010017158,0.0
2010017159,0.0
2010017160,15.0
2010017161,30.0
2010017163,7.0
2010017164,28.0
2010017165,18.0
2010017171,0.0
2010017172,0.0
2010017173,0.0
2010017175,1.0
2010017177,0.0
2010017180,8.0
2010017182,6.0
2010017183,3.0
2010017185,60.0
2010017186,7.0
2010017189,4.0
2010017190,0.0
2010017191,0.0
2010017192,5.0
2010017193,4.0
2010017196,0.0
2010017197,0.0
2010017198,1.0
2010017199,25.0
2010017200,32.0
2010017201,3.0
2010017202,5.0
2010017203,78.0
2010017204,0.0
2010017205,0.0
2010017207,7.0
2010017208,2.0
2010017212,7.0
2010017213,1.0
2010017214,16.0
2010017217,20.0
2010017218,0.0
2010017219,2.0
2010017220,0.0
2010017221,0.0
2010017222,2.0
2010017223,0.0
2010017225,2.0
