CRN,RES_TM_min
2010001139,4.0
2010004457,10.0
2010005005,14.0
2010005037,0.0
2010005373,21.0
2010005374,9.0
2010005375,16.0
2010005376,11.0
2010005378,8.0
2010005379,3.0
2010005380,11.0
2010005381,3.0
2010005383,7.0
2010005384,24.0
2010005385,20.0
2010005774,0.0
2010005818,6.0
2010006021,5.0
2010006022,0.0
2010006023,6.0
2010006030,15.0
2010006619,5.0
2010006723,13.0
2010006724,0.0
2010006725,7.0
2010007054,9.0
2010007056,2.0
2010007057,3.0
2010007663,2.0
2010007806,3.0
2010007807,0.0
2010007809,1.0
2010008004,11.0
2010008133,13.0
2010008136,2.0
2010008138,10.0
2010008139,8.0
2010008140,11.0
2010008289,0.0
2010008988,2.0
2010008990,2.0
2010008991,10.0
2010008992,1.0
2010008993,19.0
2010008994,1.0
2010008995,4.0
2010008996,25.0
2010009760,15.0
2010009766,4.0
2010009767,4.0
2010009895,0.0
2010010015,9.0
2010010017,9.0
2010010018,4.0
2010010020,7.0
2010010198,0.0
2010010260,2.0
2010010262,1.0
2010010268,3.0
2010010428,2.0
2010010429,3.0
2010010430,20.0
2010010431,5.0
2010010432,3.0
2010010433,11.0
2010010434,5.0
2010010435,2.0
2010010436,9.0
2010011148,3.0
2010011506,0.0
2010011519,1.0
2010011522,6.0
2010011524,5.0
2010011525,15.0
2010011526,0.0
2010011527,7.0
2010011528,3.0
2010011529,5.0
2010011542,4.0
2010011543,3.0
2010011544,6.0
2010011545,9.0
2010011552,9.0
2010011553,0.0
2010011554,2.0
2010011555,10.0
2010011557,5.0
2010011562,8.0
2010011563,2.0
2010011566,3.0
2010011567,2.0
2010011570,1.0
2010011571,7.0
2010011572,22.0
2010011574,5.0
2010011575,11.0
2010011576,6.0
2010011579,5.0
2010011580,10.0
2010011581,16.0
2010011582,4.0
2010011584,0.0
2010011585,8.0
2010011601,0.0
2010011609,5.0
2010011610,3.0
2010011611,1.0
2010011612,5.0
2010011613,5.0
2010011615,11.0
2010011616,4.0
2010011617,2.0
2010011618,2.0
2010011620,4.0
2010011621,1.0
2010011623,6.0
2010011624,6.0
2010011626,2.0
2010011628,2.0
