,spearman_corr,p_value
TOT_RES_TM_min,1.0,0.0
COMM_VEH_COUNT,0.04085904168004929,1.2545104070958926e-43
UNK_INJ_PER_COUNT,0.03927293698574002,1.947813178976446e-40
UNBELTED_OCC_COUNT,-0.037380745374901804,8.560082154572867e-37
SUSP_SERIOUS_INJ_COUNT,-0.03715834918387685,2.2332488389373276e-36
VEHICLE_COUNT,0.03714105770178731,2.4055479068429378e-36
HEAVY_TRUCK_COUNT,0.032619748057827115,2.044720218669246e-28
FATAL_COUNT,-0.03241855769360632,4.3639285033271245e-28
MOTORCYCLE_COUNT,-0.031693955746366784,6.442115375814135e-27
NONMOTR_COUNT,-0.029502337817506028,1.5372887924757932e-23
TOT_INJ_COUNT,-0.028066691255456296,1.8638119479414616e-21
INJURY_COUNT,-0.027915469023094334,3.047496825670969e-21
PED_COUNT,-0.025342801183402427,8.782963883488205e-18
NONMOTR_DEATH_COUNT,-0.023411026018916245,2.122174669015102e-15
UNB_SUSP_SERIOUS_INJ_COUNT,-0.02326464809742808,3.161319632743749e-15
PED_DEATH_COUNT,-0.02288998314209112,8.671510185415134e-15
NONMOTR_SUSP_SERIOUS_INJ_COUNT,-0.022725587483446903,1.3433838856498989e-14
BUS_COUNT,0.020220490780288123,7.2581148420571315e-12
PED_SUSP_SERIOUS_INJ_COUNT,-0.019883453615441676,1.6031858086201395e-11
UNK_INJ_DEG_COUNT,-0.01825534957680073,6.155396366585565e-10
BICYCLE_COUNT,-0.015080412302727657,3.2158512284454563e-07
MCYCLE_DEATH_COUNT,-0.014937109629964437,4.153820548650461e-07
BELTED_SUSP_SERIOUS_INJ_COUNT,-0.013876750311926759,2.5711130467656694e-06
DRIVER_COUNT_50_64YR,0.012853740922230643,1.326354790720804e-05
MCYCLE_SUSP_SERIOUS_INJ_COUNT,-0.012710989141484023,1.6523438434438e-05
SUSP_MINOR_INJ_COUNT,-0.012685973444227824,1.716820994723523e-05
SUV_COUNT,0.012593934821457105,1.975300961465991e-05
UNB_DEATH_COUNT,-0.011056092180202395,0.00017931410646401924
DRIVER_COUNT_16YR,-0.011004171109078226,0.0001923085746364336
BICYCLE_SUSP_SERIOUS_INJ_COUNT,-0.00946568434221542,0.001338710651479062
