CRN,TOT_RES_TM_min
2010001139,9.0
2010004457,12.0
2010005005,22.0
2010005037,0.0
2010005373,23.0
2010005374,44.0
2010005375,25.0
2010005376,17.0
2010005378,9.0
2010005379,14.0
2010005380,14.0
2010005381,9.0
2010005383,12.0
2010005384,27.0
2010005385,25.0
2010005774,0.0
2010005818,8.0
2010006021,9.0
2010006022,2.0
2010006023,12.0
2010006030,19.0
2010006619,8.0
2010006723,14.0
2010006724,2.0
2010006725,11.0
2010007054,12.0
2010007056,4.0
2010007057,5.0
2010007663,5.0
2010007806,4.0
2010007807,1.0
2010007809,6.0
2010008003,56.0
2010008004,16.0
2010008133,14.0
2010008136,6.0
2010008138,12.0
2010008139,11.0
2010008140,11.0
2010008289,1.0
2010008988,4.0
2010008990,7.0
2010008991,15.0
2010008992,4.0
2010008993,21.0
2010008994,6.0
2010008995,9.0
2010008996,30.0
2010009760,18.0
2010009766,5.0
2010009767,7.0
2010009895,0.0
2010010015,12.0
2010010017,16.0
2010010018,6.0
2010010020,13.0
2010010198,0.0
2010010260,4.0
2010010262,1.0
2010010268,3.0
2010010428,10.0
2010010429,5.0
2010010430,27.0
2010010431,9.0
2010010432,6.0
2010010433,15.0
2010010434,5.0
2010010435,8.0
2010010436,19.0
2010011148,5.0
2010011506,0.0
2010011519,2.0
2010011522,13.0
2010011524,5.0
2010011525,22.0
2010011526,1.0
2010011527,9.0
2010011528,6.0
2010011529,35.0
2010011542,15.0
2010011543,33.0
2010011545,30.0
2010011552,75.0
2010011553,0.0
2010011554,3.0
2010011555,20.0
2010011557,10.0
2010011562,25.0
2010011563,2.0
2010011566,5.0
2010011567,5.0
2010011570,2.0
2010011571,10.0
2010011572,25.0
2010011574,15.0
2010011575,15.0
2010011576,7.0
2010011579,8.0
2010011580,10.0
2010011581,21.0
2010011582,6.0
2010011584,12.0
2010011585,8.0
2010011601,0.0
2010011609,10.0
2010011610,12.0
2010011611,9.0
2010011612,7.0
2010011613,7.0
2010011615,11.0
2010011617,7.0
2010011618,2.0
2010011620,8.0
2010011621,1.0
2010011624,6.0
2010011626,3.0
2010011628,13.0
2010011629,0.0
2010011630,30.0
2010011631,15.0
2010011632,76.0
2010011634,15.0
2010011635,15.0
2010011639,30.0
2010011640,0.0
2010011641,15.0
2010011642,9.0
2010011643,30.0
2010011644,5.0
2010011798,4.0
2010011800,12.0
2010011803,5.0
2010011804,14.0
2010011805,17.0
2010011806,5.0
2010011807,7.0
2010012020,15.0
2010012021,14.0
2010012022,3.0
2010012024,9.0
2010012252,20.0
2010012268,3.0
2010012361,16.0
2010012366,0.0
2010012380,4.0
2010012384,5.0
2010012385,2.0
2010012387,6.0
2010012390,4.0
2010012391,7.0
2010012394,10.0
2010012396,8.0
2010012397,15.0
2010012398,15.0
2010012400,55.0
2010012401,2.0
2010012403,30.0
2010012404,6.0
2010012406,5.0
2010012663,8.0
2010012847,4.0
2010012848,11.0
2010012850,8.0
2010012862,12.0
2010013031,6.0
2010013032,4.0
2010013433,3.0
2010013435,16.0
2010013436,10.0
2010013696,2.0
2010014137,8.0
2010014138,12.0
2010014140,2.0
2010014142,8.0
2010014313,9.0
2010014314,13.0
2010014319,30.0
2010014320,17.0
2010014321,19.0
2010014322,9.0
2010014323,27.0
2010014324,14.0
2010014325,7.0
2010014326,1.0
2010014990,2.0
2010015112,14.0
2010015317,0.0
2010015323,1.0
2010015555,1.0
2010015556,1.0
2010015557,0.0
2010015560,3.0
2010015561,11.0
2010015562,11.0
2010015563,11.0
2010015564,50.0
2010015565,40.0
2010015566,40.0
2010015568,25.0
2010015569,9.0
2010015570,73.0
2010015571,14.0
2010015572,6.0
2010015649,3.0
2010015755,0.0
2010015770,0.0
2010015859,12.0
2010015860,8.0
2010015861,2.0
2010015916,2.0
2010015924,0.0
2010016172,15.0
2010016175,14.0
2010016179,20.0
2010016469,0.0
2010016782,5.0
2010016783,7.0
2010016784,23.0
2010016785,18.0
2010016787,11.0
2010016788,10.0
2010016790,17.0
2010016792,14.0
2010016794,19.0
2010016795,14.0
2010016797,16.0
2010016798,11.0
2010016802,16.0
2010016804,26.0
2010016805,12.0
2010016904,0.0
2010016905,40.0
2010016906,8.0
2010016907,15.0
2010016909,5.0
2010016911,4.0
2010016924,10.0
2010016926,53.0
2010016927,0.0
2010016929,7.0
2010016930,17.0
2010016931,3.0
2010016932,18.0
2010016933,8.0
2010016934,3.0
2010016935,13.0
2010016936,12.0
2010016938,25.0
2010016940,8.0
2010016941,3.0
2010016942,37.0
2010016944,30.0
2010016945,40.0
2010016948,12.0
2010016949,18.0
2010017003,6.0
2010017017,15.0
2010017018,8.0
2010017019,10.0
2010017038,1.0
2010017040,15.0
2010017041,7.0
2010017042,2.0
2010017043,30.0
2010017044,6.0
2010017045,25.0
2010017046,15.0
2010017047,3.0
2010017048,1.0
2010017050,0.0
2010017051,0.0
2010017052,11.0
2010017070,1.0
2010017073,1.0
2010017076,8.0
2010017077,13.0
2010017078,13.0
2010017079,5.0
2010017080,1.0
2010017082,7.0
2010017084,23.0
2010017086,7.0
2010017087,20.0
2010017088,4.0
2010017108,20.0
2010017109,1.0
2010017110,3.0
2010017111,10.0
2010017113,0.0
2010017114,3.0
2010017115,20.0
2010017117,10.0
2010017118,10.0
2010017119,10.0
2010017120,10.0
2010017121,7.0
2010017122,9.0
2010017123,0.0
2010017124,3.0
2010017127,7.0
2010017128,4.0
2010017129,0.0
2010017130,3.0
2010017133,5.0
2010017135,2.0
2010017136,5.0
2010017137,2.0
2010017138,11.0
2010017139,15.0
2010017140,20.0
2010017141,5.0
2010017142,5.0
2010017153,25.0
2010017154,34.0
2010017155,7.0
2010017157,1.0
2010017158,1.0
2010017159,1.0
2010017160,25.0
2010017161,32.0
2010017163,13.0
2010017164,32.0
2010017165,24.0
2010017171,2.0
2010017172,13.0
2010017173,2.0
2010017175,7.0
2010017177,4.0
2010017180,8.0
2010017182,10.0
2010017183,7.0
2010017185,60.0
2010017186,10.0
2010017189,5.0
2010017190,5.0
2010017191,2.0
2010017192,10.0
2010017193,6.0
2010017196,6.0
2010017197,0.0
2010017198,3.0
2010017199,30.0
2010017200,38.0
2010017201,20.0
2010017202,15.0
2010017203,85.0
2010017204,5.0
2010017205,0.0
2010017207,10.0
2010017208,4.0
2010017212,10.0
2010017213,2.0
2010017214,16.0
2010017217,40.0
2010017218,5.0
2010017219,2.0
2010017220,0.0
2010017221,1.0
2010017222,6.0
2010017223,2.0
2010017225,9.0
2010017227,13.0
2010017229,4.0
2010017230,8.0
2010017231,71.0
2010017232,52.0
2010017233,4.0
2010017234,27.0
2010017235,10.0
2010017237,25.0
2010017239,8.0
2010017240,7.0
2010017244,8.0
2010017245,8.0
2010017246,10.0
2010017247,6.0
2010017248,27.0
2010017249,12.0
2010017250,20.0
2010017251,12.0
2010017252,8.0
2010017253,5.0
2010017254,60.0
2010017255,3.0
2010017256,88.0
2010017258,12.0
2010017259,7.0
2010017260,10.0
2010017261,10.0
2010017262,6.0
2010017263,5.0
2010017264,8.0
2010017523,0.0
2010017658,0.0
2010018005,3.0
2010018006,15.0
2010018007,3.0
2010018009,10.0
2010018020,20.0
2010018029,10.0
2010018035,20.0
2010018036,96.0
2010018038,92.0
2010018039,5.0
2010018040,15.0
2010018041,5.0
2010018043,70.0
2010018044,8.0
2010018046,6.0
2010018047,2.0
2010018048,20.0
2010018049,15.0
2010018050,7.0
2010018051,7.0
2010018052,4.0
2010018053,23.0
2010018054,18.0
2010018055,20.0
2010018056,9.0
2010018057,11.0
2010018058,9.0
2010018059,49.0
2010018060,15.0
2010018061,11.0
2010018062,40.0
2010018064,70.0
2010018065,0.0
2010018066,7.0
2010018067,5.0
2010018100,4.0
2010018305,7.0
2010018606,3.0
2010018607,4.0
2010018608,15.0
2010018609,15.0
2010018610,15.0
2010018611,13.0
2010018613,5.0
2010018616,25.0
2010018982,4.0
2010019054,3.0
2010019189,9.0
2010019190,7.0
2010019191,30.0
2010019192,20.0
2010019193,7.0
2010019196,11.0
2010019198,3.0
2010019302,0.0
2010019340,6.0
2010019341,37.0
2010019342,17.0
2010019343,9.0
2010019345,18.0
2010019404,5.0
2010019407,13.0
2010019417,7.0
2010019424,15.0
2010019427,35.0
2010019430,12.0
2010019431,2.0
2010019432,10.0
2010019433,2.0
2010019602,0.0
2010019970,3.0
2010019976,3.0
2010020077,5.0
2010020100,20.0
2010020206,20.0
2010020464,5.0
2010020465,5.0
2010020466,10.0
2010020468,10.0
2010020471,4.0
2010020472,5.0
2010020474,21.0
2010020475,11.0
2010020476,4.0
2010020477,2.0
2010020478,0.0
2010020480,5.0
2010020831,22.0
2010020833,5.0
2010020834,14.0
2010020835,32.0
2010020838,3.0
2010020839,5.0
2010020841,8.0
2010020842,6.0
2010020846,6.0
2010020847,1.0
2010021211,0.0
2010021212,11.0
2010021214,14.0
2010021216,6.0
2010021217,34.0
2010021218,10.0
2010021405,6.0
2010021425,10.0
2010021426,0.0
2010021432,62.0
2010021433,26.0
2010021434,3.0
2010021436,15.0
2010021437,9.0
2010021438,32.0
2010021443,8.0
2010021444,15.0
2010021445,6.0
2010021446,10.0
2010021450,17.0
2010021451,26.0
2010021453,20.0
2010021454,5.0
2010021455,4.0
2010021456,8.0
2010021457,14.0
2010021459,5.0
2010021476,10.0
2010021477,5.0
2010021484,4.0
2010021485,7.0
2010021486,27.0
2010021487,0.0
2010021517,4.0
2010021520,4.0
2010021521,4.0
2010021524,30.0
2010021525,5.0
2010021527,12.0
2010021528,21.0
2010021529,10.0
2010021550,15.0
2010021551,21.0
2010021552,8.0
2010021553,8.0
2010021554,33.0
2010021556,17.0
2010021558,2.0
2010021560,14.0
2010021562,2.0
2010021563,1.0
